Website,Treatment,FP,FCP,LT,Joules,Trial
52_nytimes,prefixed,614.2,720.7,3293.0,6.7521168,6
52_nytimes,prefixed,608.5,668.3,3303.0,6.7048992,7
52_nytimes,prefixed,639.9,776.1,3557.0,6.782043600000001,8
54_whatsapp,prefixed,3567.4,3567.4,3702.0,5.647788,0
54_whatsapp,prefixed,707.0,707.1,849.0,3.470544,1
54_whatsapp,prefixed,649.5,649.5,832.0,3.5082359999999997,2
54_whatsapp,prefixed,559.2,559.4,703.0,4.7364156,3
54_whatsapp,prefixed,633.3,633.4,782.0,3.5562455999999996,4
54_whatsapp,prefixed,648.3,648.4,821.0,3.3674184,5
54_whatsapp,prefixed,635.4,635.4,830.0,3.225798,6
54_whatsapp,prefixed,1564.2,1564.3,784.0,3.5255808,7
56_dropbox,prefixed,4226.3,4226.3,4647.0,12.7143648,0
56_dropbox,prefixed,1249.3,1249.4,1254.0,10.459386000000002,1
56_dropbox,prefixed,751.5,751.6,1150.0,7.110864,2
56_dropbox,prefixed,1272.8,1272.9,1225.0,4.343025600000001,3
56_dropbox,prefixed,779.5,779.7,1756.0,8.070516,4
56_dropbox,prefixed,919.3,919.3,2054.0,6.215302800000001,5
56_dropbox,prefixed,723.0,723.1,1142.0,6.2296668,6
56_dropbox,prefixed,842.1,842.2,1234.0,7.7419152,7
56_dropbox,prefixed,1199.0,1199.1,1203.0,6.560244,8
57_okezone,prefixed,2201.5,2201.5,2621.0,5.2399548000000005,0
57_okezone,prefixed,582.1,582.2,1030.0,4.642002,1
57_okezone,prefixed,541.9,542.0,1007.0,4.310568,2
57_okezone,prefixed,509.2,509.4,992.0,5.868036,3
57_okezone,prefixed,604.7,604.8,1051.0,4.719600000000001,4
57_okezone,prefixed,579.5,579.5,1001.0,6.405854399999999,5
57_okezone,prefixed,575.5,575.5,1048.0,4.5003816,6
58_gravatar,prefixed,413.3,413.5,763.0,2.973348,0
58_gravatar,prefixed,781.6,781.7,836.0,3.2730048000000003,1
58_gravatar,prefixed,632.1,737.1,723.0,3.225798,2
58_gravatar,prefixed,605.8,605.8,801.0,3.1464,3
58_gravatar,prefixed,2537.6,2537.7,787.0,3.649824,4
58_gravatar,prefixed,715.3,715.4,812.0,3.12264,5
58_gravatar,prefixed,655.6,655.8,784.0,3.0527064,6
